Filing_ID,Jurisdiction,Filing_Method,Submission_Date,Return_Complexity,Errors_Flag,Refund_Type,Backlog_Flag,Bank_Deposit_Method,Refund_Amount,Actual_Refund_Days,Return_Complexity_Score,Seasonal_Filing_Indicator,Filing_Day_Of_Week,Refund_Amount_Bucket,Error_Severity_Score
9697,CA,E-File,2025-03-19,Medium,No,Check,Yes,N/A,1031,21,2,1,Wednesday,Medium,0
9698,NY,E-File,2025-01-28,Medium,No,Check,No,N/A,911,12,2,0,Tuesday,Small,0
9699,NY,Paper,2025-01-24,Medium,Yes,Check,No,N/A,1126,39,2,0,Friday,Medium,1
9700,NY,Paper,2025-01-09,High,Yes,Check,Yes,N/A,1706,47,3,0,Thursday,Medium,1
9701,Federal,E-File,2025-01-13,High,No,Check,No,N/A,4327,8,3,0,Monday,Large,0
9702,Federal,Paper,2025-03-19,Low,No,Direct Deposit,No,Wire,3571,37,1,1,Wednesday,Large,0
9703,CA,E-File,2025-02-04,Medium,Yes,Check,No,N/A,4418,24,2,1,Tuesday,Large,1
9704,Federal,E-File,2025-03-27,Low,No,Direct Deposit,Yes,N/A,3826,14,1,1,Thursday,Large,0
9705,Federal,E-File,2025-01-10,High,Yes,Direct Deposit,No,N/A,2226,25,3,0,Friday,Medium,1
9706,CA,Paper,2025-04-08,High,No,Check,No,N/A,1247,31,3,1,Tuesday,Medium,0
9707,Federal,Paper,2025-03-04,High,Yes,Direct Deposit,No,ACH,2494,37,3,1,Tuesday,Medium,1
9708,CA,Paper,2025-03-14,Low,Yes,Direct Deposit,No,Wire,1368,34,1,1,Friday,Medium,1
9709,Federal,Paper,2025-03-30,Medium,No,Check,No,N/A,3454,32,2,1,Sunday,Large,0
9710,CA,E-File,2025-04-11,Medium,Yes,Direct Deposit,Yes,ACH,1848,28,2,1,Friday,Medium,1
9711,NJ,Paper,2025-02-07,Medium,Yes,Check,No,N/A,3284,50,2,1,Friday,Large,1
9712,Federal,E-File,2025-01-09,Low,No,Direct Deposit,Yes,Wire,2096,22,1,0,Thursday,Medium,0
9713,NJ,Paper,2025-03-12,High,No,Direct Deposit,Yes,Wire,1457,48,3,1,Wednesday,Medium,0
9714,Federal,Paper,2025-01-11,High,Yes,Direct Deposit,No,ACH,2511,35,3,0,Saturday,Large,1
9715,NY,E-File,2025-04-06,Medium,No,Check,Yes,N/A,4268,21,2,1,Sunday,Large,0
9716,Federal,E-File,2025-01-15,Low,Yes,Check,Yes,N/A,4588,27,1,0,Wednesday,Large,1
9717,CA,Paper,2025-03-21,High,Yes,Direct Deposit,Yes,N/A,2103,46,3,1,Friday,Medium,1
9718,CA,E-File,2025-04-24,Medium,No,Direct Deposit,No,Wire,671,15,2,1,Thursday,Small,0
9719,Federal,Paper,2025-04-29,Medium,Yes,Check,No,N/A,1433,55,2,1,Tuesday,Medium,1
9720,CA,E-File,2025-01-10,High,Yes,Direct Deposit,No,Wire,2141,22,3,0,Friday,Medium,1
9721,NY,E-File,2025-03-30,Medium,Yes,Direct Deposit,No,N/A,2054,21,2,1,Sunday,Medium,1
9722,Federal,Paper,2025-04-17,Medium,Yes,Direct Deposit,No,N/A,4694,38,2,1,Thursday,Large,1
9723,NY,E-File,2025-01-09,High,No,Direct Deposit,Yes,ACH,1530,19,3,0,Thursday,Medium,0
9724,NJ,Paper,2025-04-21,Medium,No,Direct Deposit,Yes,N/A,3988,49,2,1,Monday,Large,0
9725,Federal,Paper,2025-04-07,High,Yes,Direct Deposit,No,N/A,3331,45,3,1,Monday,Large,1
9726,NY,E-File,2025-01-23,Low,Yes,Check,Yes,N/A,3283,37,1,0,Thursday,Large,1
9727,Federal,Paper,2025-04-26,Medium,No,Direct Deposit,No,N/A,2027,41,2,1,Saturday,Medium,0
9728,NY,Paper,2025-02-13,Medium,No,Direct Deposit,No,Wire,3694,38,2,1,Thursday,Large,0
9729,NJ,E-File,2025-04-18,Medium,No,Check,No,N/A,4539,14,2,1,Friday,Large,0
9730,Federal,E-File,2025-01-09,High,Yes,Direct Deposit,Yes,Wire,2970,28,3,0,Thursday,Large,1
9731,NJ,E-File,2025-04-10,Medium,Yes,Direct Deposit,Yes,Wire,4666,37,2,1,Thursday,Large,1
9732,Federal,E-File,2025-01-06,Low,No,Direct Deposit,Yes,Wire,449,19,1,0,Monday,Small,0
9733,Federal,E-File,2025-01-11,Medium,No,Check,No,N/A,1561,15,2,0,Saturday,Medium,0
9734,CA,E-File,2025-01-21,Medium,Yes,Direct Deposit,Yes,Wire,4736,32,2,0,Tuesday,Large,1
9735,NY,Paper,2025-01-13,Medium,Yes,Direct Deposit,No,Wire,4368,40,2,0,Monday,Large,1
9736,CA,Paper,2025-03-19,High,No,Direct Deposit,Yes,Wire,4237,52,3,1,Wednesday,Large,0
9737,CA,E-File,2025-01-13,Medium,Yes,Direct Deposit,No,Wire,4526,29,2,0,Monday,Large,1
9738,CA,Paper,2025-01-24,Medium,No,Direct Deposit,No,N/A,2566,42,2,0,Friday,Large,0
9739,Federal,Paper,2025-01-09,Low,No,Check,No,N/A,4009,27,1,0,Thursday,Large,0
9740,NY,E-File,2025-04-13,High,Yes,Check,No,N/A,1126,19,3,1,Sunday,Medium,1
9741,NJ,E-File,2025-04-15,Low,No,Check,Yes,N/A,490,17,1,1,Tuesday,Small,0
9742,NJ,E-File,2025-01-26,Medium,No,Check,Yes,N/A,2257,21,2,0,Sunday,Medium,0
9743,CA,Paper,2025-02-01,Low,No,Check,Yes,N/A,4862,34,1,1,Saturday,Large,0
9744,NJ,E-File,2025-03-11,Medium,Yes,Direct Deposit,No,Wire,4477,24,2,1,Tuesday,Large,1
9745,NY,E-File,2025-03-13,Low,No,Check,No,N/A,2750,9,1,1,Thursday,Large,0
9746,Federal,Paper,2025-04-26,High,No,Direct Deposit,No,Wire,2015,35,3,1,Saturday,Medium,0
9747,NJ,Paper,2025-04-11,Low,Yes,Direct Deposit,No,Wire,360,43,1,1,Friday,Small,1
9748,NY,Paper,2025-03-12,Low,No,Check,No,N/A,3067,35,1,1,Wednesday,Large,0
9749,NJ,E-File,2025-01-03,Medium,Yes,Check,No,N/A,1560,28,2,0,Friday,Medium,1
9750,CA,Paper,2025-04-23,High,No,Check,No,N/A,2272,39,3,1,Wednesday,Medium,0
9751,NJ,E-File,2025-02-03,Medium,Yes,Direct Deposit,Yes,ACH,3374,35,2,1,Monday,Large,1
9752,CA,Paper,2025-01-03,Medium,Yes,Direct Deposit,Yes,ACH,3946,54,2,0,Friday,Large,1
9753,NJ,E-File,2025-01-03,High,Yes,Direct Deposit,No,ACH,3582,26,3,0,Friday,Large,1
9754,NJ,Paper,2025-03-31,High,Yes,Check,No,N/A,3669,47,3,1,Monday,Large,1
9755,NY,Paper,2025-02-14,Medium,No,Direct Deposit,Yes,ACH,4978,54,2,1,Friday,Large,0
9756,Federal,Paper,2025-01-10,Low,No,Direct Deposit,No,ACH,2836,38,1,0,Friday,Large,0
9757,CA,Paper,2025-01-20,High,No,Check,No,N/A,3511,30,3,0,Monday,Large,0
9758,NJ,Paper,2025-02-16,High,Yes,Direct Deposit,No,Wire,488,39,3,1,Sunday,Small,1
9759,Federal,E-File,2025-04-28,High,Yes,Check,Yes,N/A,1635,32,3,1,Monday,Medium,1
9760,Federal,E-File,2025-03-13,Medium,Yes,Direct Deposit,Yes,N/A,2443,23,2,1,Thursday,Medium,1
9761,NY,E-File,2025-02-21,Medium,Yes,Check,No,N/A,1313,21,2,1,Friday,Medium,1
9762,NJ,E-File,2025-03-20,Medium,Yes,Direct Deposit,Yes,ACH,3352,20,2,1,Thursday,Large,1
9763,CA,Paper,2025-01-06,Medium,No,Check,Yes,N/A,3650,49,2,0,Monday,Large,0
9764,NJ,E-File,2025-01-19,High,No,Check,No,N/A,4044,12,3,0,Sunday,Large,0
9765,CA,E-File,2025-04-26,High,No,Check,No,N/A,3035,15,3,1,Saturday,Large,0
9766,Federal,Paper,2025-01-11,Medium,No,Direct Deposit,No,ACH,4193,40,2,0,Saturday,Large,0
9767,NY,E-File,2025-01-23,Low,Yes,Check,Yes,N/A,818,21,1,0,Thursday,Small,1
9768,NY,Paper,2025-04-25,Medium,No,Check,No,N/A,313,41,2,1,Friday,Small,0
9769,Federal,Paper,2025-04-12,Low,Yes,Direct Deposit,No,Wire,2752,34,1,1,Saturday,Large,1
9770,CA,Paper,2025-03-17,High,Yes,Direct Deposit,Yes,ACH,3457,43,3,1,Monday,Large,1
9771,CA,Paper,2025-02-22,High,Yes,Direct Deposit,Yes,Wire,3834,60,3,1,Saturday,Large,1
9772,CA,E-File,2025-01-02,Medium,No,Check,No,N/A,2460,12,2,0,Thursday,Medium,0
9773,Federal,Paper,2025-01-21,Low,No,Check,Yes,N/A,2972,32,1,0,Tuesday,Large,0
9774,NJ,Paper,2025-02-02,High,No,Direct Deposit,Yes,N/A,3402,51,3,1,Sunday,Large,0
9775,NJ,E-File,2025-03-11,High,No,Check,Yes,N/A,510,17,3,1,Tuesday,Small,0
9776,NJ,Paper,2025-02-10,High,No,Check,No,N/A,3141,32,3,1,Monday,Large,0
9777,Federal,Paper,2025-04-25,Low,No,Check,No,N/A,1001,31,1,1,Friday,Medium,0
9778,CA,E-File,2025-01-22,Low,No,Direct Deposit,Yes,Wire,1525,22,1,0,Wednesday,Medium,0
9779,NJ,E-File,2025-03-02,Low,Yes,Check,No,N/A,877,13,1,1,Sunday,Small,1
9780,Federal,Paper,2025-04-24,High,No,Check,No,N/A,2334,34,3,1,Thursday,Medium,0
9781,NJ,E-File,2025-03-04,Low,No,Check,Yes,N/A,1876,17,1,1,Tuesday,Medium,0
9782,Federal,E-File,2025-01-21,Medium,No,Direct Deposit,No,ACH,4011,10,2,0,Tuesday,Large,0
9783,CA,E-File,2025-03-02,Medium,No,Check,No,N/A,2533,13,2,1,Sunday,Large,0
9784,NJ,Paper,2025-04-07,Medium,Yes,Check,No,N/A,1056,41,2,1,Monday,Medium,1
9785,NJ,E-File,2025-03-18,Medium,Yes,Direct Deposit,No,N/A,3695,13,2,1,Tuesday,Large,1
9786,CA,Paper,2025-02-22,Low,No,Direct Deposit,Yes,Wire,4545,49,1,1,Saturday,Large,0
9787,NY,E-File,2025-03-22,High,No,Direct Deposit,No,N/A,820,10,3,1,Saturday,Small,0
9788,CA,Paper,2025-04-15,Medium,Yes,Check,No,N/A,1376,49,2,1,Tuesday,Medium,1
9789,CA,Paper,2025-04-15,Medium,No,Direct Deposit,Yes,ACH,4252,38,2,1,Tuesday,Large,0
9790,NJ,Paper,2025-02-04,High,Yes,Direct Deposit,No,ACH,1831,45,3,1,Tuesday,Medium,1
9791,CA,Paper,2025-01-02,Medium,No,Direct Deposit,Yes,N/A,1115,47,2,0,Thursday,Medium,0
9792,Federal,Paper,2025-03-11,Medium,Yes,Direct Deposit,Yes,Wire,2351,54,2,1,Tuesday,Medium,1
9793,CA,Paper,2025-03-13,High,Yes,Direct Deposit,Yes,Wire,1924,52,3,1,Thursday,Medium,1
9794,CA,E-File,2025-03-28,Medium,No,Check,Yes,N/A,1939,14,2,1,Friday,Medium,0
9795,NY,E-File,2025-01-18,Low,Yes,Check,Yes,N/A,1296,19,1,0,Saturday,Medium,1
9796,CA,E-File,2025-01-26,High,No,Check,No,N/A,1268,9,3,0,Sunday,Medium,0
9797,NJ,E-File,2025-02-10,Medium,Yes,Direct Deposit,No,ACH,1303,28,2,1,Monday,Medium,1
9798,NJ,E-File,2025-03-14,Medium,Yes,Direct Deposit,No,ACH,3879,18,2,1,Friday,Large,1
9799,NY,E-File,2025-04-07,Low,No,Direct Deposit,Yes,N/A,4874,20,1,1,Monday,Large,0
9800,NJ,Paper,2025-04-20,Low,No,Direct Deposit,No,Wire,2931,30,1,1,Sunday,Large,0
9801,NJ,E-File,2025-01-11,Medium,Yes,Check,No,N/A,1495,28,2,0,Saturday,Medium,1
9802,NY,E-File,2025-04-03,High,No,Check,Yes,N/A,337,20,3,1,Thursday,Small,0
9803,NY,Paper,2025-03-06,High,No,Check,Yes,N/A,1670,48,3,1,Thursday,Medium,0
9804,Federal,E-File,2025-03-16,Low,No,Check,Yes,N/A,3608,23,1,1,Sunday,Large,0
9805,Federal,Paper,2025-04-21,Low,No,Direct Deposit,Yes,N/A,1469,38,1,1,Monday,Medium,0
9806,NY,E-File,2025-04-25,Low,Yes,Direct Deposit,No,ACH,1411,26,1,1,Friday,Medium,1
9807,NJ,E-File,2025-03-27,Low,Yes,Direct Deposit,Yes,ACH,3349,29,1,1,Thursday,Large,1
9808,CA,E-File,2025-01-28,Medium,Yes,Check,No,N/A,3334,16,2,0,Tuesday,Large,1
9809,CA,Paper,2025-03-14,Medium,No,Direct Deposit,No,ACH,2098,45,2,1,Friday,Medium,0
9810,Federal,E-File,2025-03-11,High,Yes,Direct Deposit,No,Wire,2369,19,3,1,Tuesday,Medium,1
9811,Federal,Paper,2025-03-02,Medium,Yes,Direct Deposit,Yes,N/A,2342,47,2,1,Sunday,Medium,1
9812,NJ,Paper,2025-02-06,High,Yes,Check,No,N/A,4769,51,3,1,Thursday,Large,1
9813,Federal,E-File,2025-04-07,Low,No,Check,Yes,N/A,4470,23,1,1,Monday,Large,0
9814,NY,E-File,2025-01-27,High,Yes,Check,Yes,N/A,2045,35,3,0,Monday,Medium,1
9815,NJ,E-File,2025-02-16,Medium,Yes,Direct Deposit,No,N/A,4454,22,2,1,Sunday,Large,1
9816,CA,Paper,2025-04-12,High,No,Direct Deposit,Yes,Wire,4499,52,3,1,Saturday,Large,0
9817,CA,E-File,2025-03-05,High,No,Direct Deposit,No,Wire,2014,13,3,1,Wednesday,Medium,0
9818,Federal,E-File,2025-04-10,Low,No,Direct Deposit,Yes,ACH,2913,19,1,1,Thursday,Large,0
9819,NJ,Paper,2025-02-10,Low,Yes,Check,Yes,N/A,3377,46,1,1,Monday,Large,1
9820,CA,E-File,2025-01-25,Low,Yes,Direct Deposit,Yes,ACH,1186,35,1,0,Saturday,Medium,1
9821,NJ,Paper,2025-02-09,High,No,Direct Deposit,No,ACH,3095,33,3,1,Sunday,Large,0
9822,NY,E-File,2025-04-05,Low,No,Check,No,N/A,2463,9,1,1,Saturday,Medium,0
9823,CA,E-File,2025-03-26,Low,No,Direct Deposit,No,Wire,4368,9,1,1,Wednesday,Large,0
9824,NJ,Paper,2025-01-20,High,Yes,Check,No,N/A,1266,52,3,0,Monday,Medium,1
9825,NY,Paper,2025-03-14,Medium,Yes,Direct Deposit,Yes,Wire,1807,55,2,1,Friday,Medium,1
9826,NY,E-File,2025-01-05,Medium,Yes,Direct Deposit,Yes,ACH,1562,31,2,0,Sunday,Medium,1
9827,Federal,Paper,2025-03-11,Medium,No,Check,Yes,N/A,3951,42,2,1,Tuesday,Large,0
9828,CA,Paper,2025-03-10,High,Yes,Check,No,N/A,2637,46,3,1,Monday,Large,1
9829,NJ,E-File,2025-02-08,Low,No,Direct Deposit,No,Wire,879,15,1,1,Saturday,Small,0
9830,NY,Paper,2025-01-04,Low,No,Check,Yes,N/A,2655,31,1,0,Saturday,Large,0
9831,Federal,Paper,2025-04-23,High,No,Direct Deposit,No,N/A,1203,35,3,1,Wednesday,Medium,0
9832,NJ,Paper,2025-04-05,Low,No,Check,Yes,N/A,545,42,1,1,Saturday,Small,0
9833,CA,E-File,2025-02-20,High,Yes,Direct Deposit,No,Wire,4444,19,3,1,Thursday,Large,1
9834,Federal,E-File,2025-03-25,Medium,No,Direct Deposit,Yes,ACH,1204,14,2,1,Tuesday,Medium,0
9835,NY,Paper,2025-03-31,Medium,Yes,Check,Yes,N/A,2362,41,2,1,Monday,Medium,1
9836,CA,Paper,2025-04-27,Medium,No,Check,Yes,N/A,915,35,2,1,Sunday,Small,0
9837,NY,E-File,2025-01-16,Low,Yes,Direct Deposit,Yes,Wire,3338,31,1,0,Thursday,Large,1
9838,Federal,E-File,2025-04-24,Low,Yes,Check,No,N/A,4716,20,1,1,Thursday,Large,1
9839,CA,Paper,2025-02-01,Medium,No,Direct Deposit,No,ACH,4780,31,2,1,Saturday,Large,0
9840,NJ,Paper,2025-01-24,High,Yes,Check,Yes,N/A,3718,52,3,0,Friday,Large,1
9841,NJ,Paper,2025-01-17,High,No,Direct Deposit,No,Wire,1814,31,3,0,Friday,Medium,0
9842,NJ,E-File,2025-03-23,Medium,Yes,Direct Deposit,Yes,N/A,2547,25,2,1,Sunday,Large,1
9843,NY,Paper,2025-01-11,Medium,Yes,Check,No,N/A,2523,38,2,0,Saturday,Large,1
9844,CA,Paper,2025-01-14,Medium,Yes,Check,No,N/A,1964,47,2,0,Tuesday,Medium,1
9845,NJ,Paper,2025-01-03,Medium,Yes,Direct Deposit,Yes,N/A,1493,45,2,0,Friday,Medium,1
9846,CA,E-File,2025-02-09,Low,Yes,Check,Yes,N/A,1026,30,1,1,Sunday,Medium,1
9847,NJ,E-File,2025-04-02,High,Yes,Check,Yes,N/A,1194,26,3,1,Wednesday,Medium,1
9848,CA,E-File,2025-03-06,Medium,No,Check,No,N/A,4616,7,2,1,Thursday,Large,0
9849,NY,E-File,2025-04-13,High,No,Check,Yes,N/A,1974,22,3,1,Sunday,Medium,0
9850,NJ,E-File,2025-01-07,High,No,Check,No,N/A,873,13,3,0,Tuesday,Small,0
9851,Federal,E-File,2025-03-26,Medium,No,Direct Deposit,Yes,N/A,731,16,2,1,Wednesday,Small,0
9852,NJ,Paper,2025-01-26,High,No,Check,No,N/A,3067,39,3,0,Sunday,Large,0
9853,Federal,E-File,2025-03-08,Medium,Yes,Direct Deposit,No,Wire,1206,15,2,1,Saturday,Medium,1
9854,NJ,E-File,2025-03-03,Low,Yes,Direct Deposit,Yes,Wire,2607,29,1,1,Monday,Large,1
9855,NY,E-File,2025-01-01,High,Yes,Check,No,N/A,4092,14,3,0,Wednesday,Large,1
9856,CA,E-File,2025-02-09,High,No,Direct Deposit,No,Wire,515,14,3,1,Sunday,Small,0
9857,Federal,Paper,2025-03-31,Low,No,Check,No,N/A,1056,30,1,1,Monday,Medium,0
9858,NY,Paper,2025-01-02,Medium,Yes,Direct Deposit,Yes,N/A,4865,54,2,0,Thursday,Large,1
9859,NJ,E-File,2025-04-22,Medium,Yes,Direct Deposit,Yes,Wire,1238,35,2,1,Tuesday,Medium,1
9860,NY,E-File,2025-04-29,Medium,No,Direct Deposit,No,ACH,4086,10,2,1,Tuesday,Large,0
9861,Federal,E-File,2025-01-16,High,No,Check,No,N/A,1965,7,3,0,Thursday,Medium,0
9862,Federal,E-File,2025-03-19,Medium,Yes,Direct Deposit,Yes,N/A,2403,30,2,1,Wednesday,Medium,1
9863,NJ,Paper,2025-03-12,Medium,No,Direct Deposit,No,Wire,3468,36,2,1,Wednesday,Large,0
9864,Federal,Paper,2025-04-23,Medium,Yes,Check,Yes,N/A,442,47,2,1,Wednesday,Small,1
9865,CA,E-File,2025-02-06,High,No,Check,Yes,N/A,1692,16,3,1,Thursday,Medium,0
9866,Federal,E-File,2025-03-09,High,Yes,Check,No,N/A,3201,20,3,1,Sunday,Large,1
9867,NJ,Paper,2025-04-05,Medium,Yes,Direct Deposit,No,ACH,1509,33,2,1,Saturday,Medium,1
9868,CA,Paper,2025-02-19,Medium,No,Check,No,N/A,3654,39,2,1,Wednesday,Large,0
9869,Federal,E-File,2025-03-10,High,Yes,Direct Deposit,No,Wire,831,19,3,1,Monday,Small,1
9870,NY,Paper,2025-03-25,Low,Yes,Direct Deposit,Yes,ACH,734,47,1,1,Tuesday,Small,1
9871,Federal,Paper,2025-01-09,High,Yes,Direct Deposit,No,ACH,1314,45,3,0,Thursday,Medium,1
9872,Federal,Paper,2025-02-02,Low,No,Direct Deposit,Yes,ACH,2451,51,1,1,Sunday,Medium,0
9873,NY,E-File,2025-03-08,Medium,No,Check,Yes,N/A,3931,19,2,1,Saturday,Large,0
9874,NY,Paper,2025-01-03,Low,No,Check,Yes,N/A,1594,37,1,0,Friday,Medium,0
9875,NJ,E-File,2025-03-23,Medium,Yes,Check,Yes,N/A,3439,30,2,1,Sunday,Large,1
9876,NJ,Paper,2025-01-20,Medium,No,Direct Deposit,No,ACH,4679,44,2,0,Monday,Large,0
9877,NY,E-File,2025-01-16,Medium,No,Direct Deposit,Yes,Wire,2145,20,2,0,Thursday,Medium,0
9878,CA,Paper,2025-01-07,Medium,No,Check,No,N/A,2376,33,2,0,Tuesday,Medium,0
9879,NY,Paper,2025-01-13,Low,Yes,Direct Deposit,Yes,N/A,624,56,1,0,Monday,Small,1
9880,NY,E-File,2025-04-09,High,Yes,Direct Deposit,Yes,Wire,3775,30,3,1,Wednesday,Large,1
9881,NJ,Paper,2025-02-05,Medium,Yes,Direct Deposit,No,ACH,3684,39,2,1,Wednesday,Large,1
9882,Federal,E-File,2025-01-11,Medium,Yes,Direct Deposit,Yes,Wire,3242,20,2,0,Saturday,Large,1
9883,CA,E-File,2025-04-15,High,No,Direct Deposit,No,ACH,2526,12,3,1,Tuesday,Large,0
9884,CA,Paper,2025-03-03,High,No,Check,No,N/A,4715,43,3,1,Monday,Large,0
9885,Federal,Paper,2025-04-18,Medium,Yes,Check,No,N/A,4603,42,2,1,Friday,Large,1
9886,NY,E-File,2025-03-10,Medium,No,Direct Deposit,No,ACH,1669,8,2,1,Monday,Medium,0
9887,NJ,Paper,2025-02-15,Low,Yes,Check,No,N/A,2208,51,1,1,Saturday,Medium,1
9888,Federal,E-File,2025-03-25,Medium,No,Check,No,N/A,4653,7,2,1,Tuesday,Large,0
9889,Federal,E-File,2025-01-29,Medium,No,Check,No,N/A,3490,8,2,0,Wednesday,Large,0
9890,Federal,E-File,2025-02-13,Medium,Yes,Check,No,N/A,1055,13,2,1,Thursday,Medium,1
9891,NY,E-File,2025-04-18,Low,Yes,Check,Yes,N/A,3892,25,1,1,Friday,Large,1
9892,NJ,Paper,2025-01-14,High,No,Check,No,N/A,4214,41,3,0,Tuesday,Large,0
9893,CA,Paper,2025-02-17,High,No,Check,No,N/A,910,25,3,1,Monday,Small,0
9894,NJ,Paper,2025-01-11,Medium,No,Check,No,N/A,1523,29,2,0,Saturday,Medium,0
9895,NJ,Paper,2025-01-19,Medium,Yes,Direct Deposit,Yes,Wire,4868,61,2,0,Sunday,Large,1
9896,NJ,E-File,2025-03-03,High,Yes,Direct Deposit,No,ACH,3841,26,3,1,Monday,Large,1
9897,NJ,Paper,2025-03-31,High,Yes,Check,Yes,N/A,4582,55,3,1,Monday,Large,1
9898,CA,Paper,2025-01-11,High,No,Direct Deposit,No,Wire,2189,26,3,0,Saturday,Medium,0
9899,CA,E-File,2025-03-04,Medium,Yes,Check,Yes,N/A,1870,23,2,1,Tuesday,Medium,1
9900,Federal,Paper,2025-02-18,Low,No,Direct Deposit,No,ACH,2506,26,1,1,Tuesday,Large,0
9901,Federal,E-File,2025-02-20,Low,No,Direct Deposit,Yes,N/A,1104,15,1,1,Thursday,Medium,0
9902,NJ,Paper,2025-02-15,Medium,No,Check,Yes,N/A,3776,44,2,1,Saturday,Large,0
9903,CA,Paper,2025-02-21,Medium,No,Direct Deposit,Yes,ACH,1189,45,2,1,Friday,Medium,0
9904,CA,Paper,2025-04-17,Medium,No,Check,Yes,N/A,2044,42,2,1,Thursday,Medium,0
9905,NJ,Paper,2025-04-21,Low,Yes,Check,No,N/A,2651,42,1,1,Monday,Large,1
9906,CA,E-File,2025-01-27,Medium,No,Check,No,N/A,1254,12,2,0,Monday,Medium,0
9907,Federal,Paper,2025-04-06,Low,Yes,Check,Yes,N/A,4057,66,1,1,Sunday,Large,1
9908,CA,E-File,2025-03-26,Medium,No,Direct Deposit,No,N/A,3385,13,2,1,Wednesday,Large,0
9909,NY,Paper,2025-02-10,Medium,No,Direct Deposit,Yes,Wire,2225,44,2,1,Monday,Medium,0
9910,NJ,E-File,2025-04-15,Medium,No,Check,No,N/A,2803,8,2,1,Tuesday,Large,0
9911,NY,Paper,2025-01-21,High,No,Direct Deposit,No,N/A,1737,28,3,0,Tuesday,Medium,0
9912,Federal,E-File,2025-01-11,Medium,Yes,Direct Deposit,Yes,ACH,4720,27,2,0,Saturday,Large,1
9913,NJ,E-File,2025-03-19,Low,No,Check,No,N/A,3048,12,1,1,Wednesday,Large,0
9914,Federal,Paper,2025-02-13,Low,No,Check,No,N/A,3844,26,1,1,Thursday,Large,0
9915,NJ,E-File,2025-03-13,High,No,Direct Deposit,Yes,Wire,2862,21,3,1,Thursday,Large,0
9916,CA,E-File,2025-04-03,High,No,Direct Deposit,Yes,ACH,2131,16,3,1,Thursday,Medium,0
9917,NJ,Paper,2025-03-06,Low,No,Direct Deposit,No,ACH,3582,33,1,1,Thursday,Large,0
9918,CA,E-File,2025-03-18,Medium,Yes,Direct Deposit,Yes,Wire,772,32,2,1,Tuesday,Small,1
9919,CA,E-File,2025-02-09,Medium,Yes,Direct Deposit,No,ACH,3469,14,2,1,Sunday,Large,1
9920,CA,E-File,2025-01-01,Medium,Yes,Direct Deposit,No,ACH,2097,19,2,0,Wednesday,Medium,1
9921,Federal,Paper,2025-02-27,High,Yes,Check,Yes,N/A,4799,58,3,1,Thursday,Large,1
9922,CA,Paper,2025-03-04,High,Yes,Direct Deposit,No,Wire,4474,37,3,1,Tuesday,Large,1
9923,Federal,E-File,2025-02-07,High,No,Direct Deposit,No,ACH,1890,8,3,1,Friday,Medium,0
9924,NY,E-File,2025-02-03,Medium,Yes,Direct Deposit,Yes,Wire,4620,26,2,1,Monday,Large,1
9925,NY,Paper,2025-01-19,Medium,Yes,Direct Deposit,No,N/A,3950,45,2,0,Sunday,Large,1
9926,NJ,Paper,2025-03-29,Medium,Yes,Check,No,N/A,1292,42,2,1,Saturday,Medium,1
9927,NY,Paper,2025-01-26,Medium,No,Check,Yes,N/A,3375,33,2,0,Sunday,Large,0
9928,NY,Paper,2025-01-22,High,No,Check,Yes,N/A,1242,47,3,0,Wednesday,Medium,0
9929,CA,Paper,2025-04-05,Medium,Yes,Check,No,N/A,4811,40,2,1,Saturday,Large,1
9930,CA,Paper,2025-01-04,High,Yes,Check,No,N/A,3773,35,3,0,Saturday,Large,1
9931,CA,Paper,2025-04-11,Low,No,Check,Yes,N/A,2476,35,1,1,Friday,Medium,0
9932,CA,Paper,2025-03-14,Medium,Yes,Direct Deposit,Yes,N/A,2304,41,2,1,Friday,Medium,1
9933,NJ,Paper,2025-01-01,High,Yes,Direct Deposit,Yes,ACH,807,54,3,0,Wednesday,Small,1
9934,NY,E-File,2025-02-10,Low,Yes,Check,No,N/A,3571,19,1,1,Monday,Large,1
9935,Federal,E-File,2025-04-13,Low,No,Check,No,N/A,3098,11,1,1,Sunday,Large,0
9936,NY,E-File,2025-01-20,Low,Yes,Check,Yes,N/A,3307,30,1,0,Monday,Large,1
9937,Federal,E-File,2025-01-19,Medium,Yes,Direct Deposit,No,Wire,3040,22,2,0,Sunday,Large,1
9938,Federal,E-File,2025-01-09,Medium,No,Direct Deposit,No,N/A,1631,14,2,0,Thursday,Medium,0
9939,Federal,E-File,2025-01-07,Medium,No,Direct Deposit,Yes,Wire,1821,17,2,0,Tuesday,Medium,0
9940,NY,Paper,2025-01-06,Medium,Yes,Direct Deposit,Yes,N/A,3801,60,2,0,Monday,Large,1
9941,NJ,Paper,2025-01-24,Low,No,Direct Deposit,No,ACH,1775,27,1,0,Friday,Medium,0
9942,CA,Paper,2025-02-23,Low,Yes,Check,Yes,N/A,2485,45,1,1,Sunday,Medium,1
9943,CA,Paper,2025-03-27,Low,No,Direct Deposit,No,Wire,2263,41,1,1,Thursday,Medium,0
9944,NJ,E-File,2025-03-21,Low,Yes,Direct Deposit,No,Wire,2093,20,1,1,Friday,Medium,1
9945,NJ,Paper,2025-01-20,Medium,Yes,Check,No,N/A,4505,39,2,0,Monday,Large,1
